segment_id,coordinates,segment_length,streets
9000004024,"[[[13.322693194, 52.624569903], [13.321872794, 52.624305103]]]",0.1065549316366416,Gertrudstraße
9000004033,"[[[13.393540794, 52.526400903], [13.393565294, 52.526340003], [13.393585994, 52.526288603], [13.393407294, 52.525992403]]]",0.05511540905392526,Tucholskystraße
9000004035,"[[[13.312629394, 52.499254303], [13.312430994, 52.499258903], [13.312394694, 52.499259703], [13.312363794, 52.499257903], [13.311960394, 52.499233903], [13.311076094, 52.499181403], [13.309871194, 52.499108503], [13.309141494, 52.499064303], [13.308813794, 52.499044503]]]",0.0593212660542778,Olivaer Platz
9000004039,"[[[13.379049694, 52.599984103], [13.380135994, 52.599568703], [13.381864894, 52.598852603]]]",0.13274455000881752,Hauptstraße
9000004074,"[[[13.321168994, 52.507432903], [13.321238294, 52.507346703], [13.321707994, 52.506762703], [13.321858194, 52.506575803], [13.321903094, 52.506482003], [13.321956494, 52.506387303]]]",0.05560111355468338,Grolmanstraße
9000004118,"[[[13.427934194, 52.488340903], [13.427925894, 52.488383103], [13.427918994, 52.488414603], [13.427569494, 52.490177703], [13.427584294, 52.490267703]]]",0.055047902144606246,Weserstraße
9000004132,"[[[13.472863694, 52.512122003], [13.472846794, 52.512106703], [13.472249394, 52.511572803], [13.472132094, 52.511465903], [13.471705494, 52.511068003], [13.471449894, 52.510828603]]]",0.055061921019655874,Jessnerstraße
9000004233,"[[[13.419801794, 52.579004703], [13.420498894, 52.579235303]]]",0.09506857383275714,Galenusstraße
9000004284,"[[[13.536485994, 52.485495903], [13.534746094, 52.485042703], [13.534342094, 52.484922303], [13.534117894, 52.484844403], [13.534005294, 52.484805303]]]",0.2011382072393131,Rheinsteinstraße
9000004286,"[[[13.456196194, 52.509915203], [13.456282594, 52.509892303], [13.456945894, 52.509718203]]]",0.05586594154664073,Wühlischstraße
9000004471,"[[[13.352969794, 52.521235003], [13.353256494, 52.522050403], [13.353513994, 52.522789203]]]",0.06362084362965095,Spenerstraße
9000004544,"[[[13.463834994, 52.485124003], [13.464433094, 52.485791903]]]",0.08632213386261853,Puderstraße
9000004545,"[[[13.489545594, 52.469449703], [13.489232594, 52.469277303]]]",0.06510901681810598,Trojanstraße
9000004546,"[[[13.391631594, 52.530252903], [13.391233994, 52.530564103], [13.390453894, 52.531174703], [13.390311194, 52.531286403]]]",0.07060426084717182,Gartenstraße
9000004562,"[[[13.483403594, 52.480046403], [13.483201894, 52.480273603], [13.483015094, 52.480367603], [13.482525694, 52.480880903], [13.482251294, 52.481217003], [13.482086194, 52.481413903]]]",0.05942251282275761,Dammweg
9000004597,"[[[13.487061194, 52.465583803], [13.486952194, 52.465493303], [13.486908394, 52.465457003], [13.486742094, 52.465319403], [13.486612094, 52.465211903], [13.486524694, 52.465139503], [13.486434794, 52.465065103], [13.486331794, 52.464979903], [13.486242394, 52.464905103], [13.486225194, 52.464890803], [13.485988994, 52.464693203], [13.485922694, 52.464638903], [13.485867394, 52.464593603]]]",0.05634559079804114,Kiefholzstraße
9000004602,"[[[13.437476994, 52.463546703], [13.437352194, 52.463951803], [13.437219294, 52.464383103], [13.437197994, 52.464452303]]]",0.05676050448004565,Rungiusstraße
9000004669,"[[[13.369096794, 52.548695903], [13.368861394, 52.549082203], [13.368328994, 52.549977003]]]",0.06095941797308102,Reinickendorfer Straße
9000004676,"[[[13.448726394, 52.490358203], [13.448783194, 52.490395303], [13.448796094, 52.490403703], [13.449022194, 52.490552103], [13.449313994, 52.490740903], [13.449492094, 52.490856203], [13.449648094, 52.490957103], [13.449910894, 52.491127203], [13.450416394, 52.491454303]]]",0.05539660506237846,Karl-Kunger-Straße
9000004685,"[[[13.435681794, 52.469108403], [13.435777994, 52.468819003], [13.435873094, 52.468533003]]]",0.05606824019897315,Ilsestraße
9000004712,"[[[13.442901694, 52.488138603], [13.442134894, 52.488530603]]]",0.10148422023124579,Mengerzeile
9000004794,"[[[13.421244194, 52.504054503], [13.421429994, 52.504318803]]]",0.058791347021001625,Adalbertstraße
9000004869,"[[[13.451802494, 52.480881703], [13.450808894, 52.480134403], [13.450798894, 52.480126903], [13.450725094, 52.480071103]]]",0.12343169803071351,Treptower Straße
9000004912,"[[[13.332713394, 52.474440803], [13.332730494, 52.475421003]]]",0.055094745830114,Handjerystraße
9000004915,"[[[13.332701194, 52.473965903], [13.332713394, 52.474440803]]]",0.05507863688663563,Handjerystraße
9000004995,"[[[13.409714394, 52.538571303], [13.409588294, 52.538451503], [13.408950994, 52.537856703], [13.408738894, 52.537653303], [13.408053094, 52.536994703], [13.406970294, 52.535939403], [13.406918794, 52.535886803], [13.406746894, 52.535711703]]]",0.05680218710399834,Oderberger Straße
9000005010,"[[[13.438138294, 52.467160703], [13.438170894, 52.467164603], [13.438268894, 52.467176103], [13.438575294, 52.467212003], [13.438616994, 52.467216903], [13.438810194, 52.467239503], [13.438828994, 52.467241703], [13.439041994, 52.467266703], [13.439787294, 52.467354103], [13.440007794, 52.467379903], [13.440184094, 52.467400603], [13.440409594, 52.467427103]]]",0.05515706500412673,Bruno-Bauer-Straße
9000005083,"[[[13.341340194, 52.532403303], [13.341338894, 52.532699203], [13.341373194, 52.534169203]]]",0.05506015130880229,Wilhelmshavener Straße
9000005252,"[[[13.524268394, 52.489030703], [13.523639894, 52.487018103], [13.523624294, 52.486966703]]]",0.08894403865313608,Hönower Straße
9000005444,"[[[13.434586794, 52.462488903], [13.434565294, 52.462533303], [13.434479594, 52.462694203], [13.434437194, 52.462761103], [13.434332294, 52.462833603]]]",0.05509053754375833,Britzer Damm
9000005832,"[[[13.429664394, 52.485389603], [13.429980794, 52.485221203], [13.430234894, 52.485086003], [13.430450894, 52.484971103], [13.430525194, 52.484931503], [13.430753794, 52.484809903], [13.430843194, 52.484762303], [13.430894594, 52.484734703], [13.431000094, 52.484678103], [13.431047094, 52.484633403], [13.431105894, 52.484602403], [13.431265094, 52.484516403]]]",0.06532342884067599,Donaustraße
9000005887,"[[[13.433338694, 52.464029003], [13.433837094, 52.464084003], [13.433914794, 52.464092603], [13.433932094, 52.464094503], [13.434385594, 52.464144003], [13.434818394, 52.464191303], [13.434870294, 52.464197003], [13.435047294, 52.464216303], [13.435519794, 52.464267903], [13.435784994, 52.464296803], [13.435852194, 52.464304203], [13.436350694, 52.464359103], [13.436418394, 52.464366503], [13.436601894, 52.464386703], [13.436754794, 52.464403503], [13.437047794, 52.464435803], [13.437091294, 52.464440603], [13.437197994, 52.464452303]]]",0.0781063605849033,Glasower Straße
9000005919,"[[[13.520739694, 52.482141703], [13.519670894, 52.482608803]]]",0.1309627787358828,Wandlitzstraße
9000005977,"[[[13.438999394, 52.486153803], [13.438327794, 52.485643303], [13.437916794, 52.485330903], [13.437530694, 52.485037403]]]",0.09276868506237333,Fuldastraße
9000006027,"[[[13.336056494, 52.495982003], [13.337188494, 52.495935603]]]",0.13738865854564455,Kulmbacher Straße
9000006412,"[[[13.380870794, 52.597448603], [13.380506994, 52.597099303]]]",0.06831568339876397,Nesselweg
9000006435,"[[[13.424599994, 52.508832903], [13.423483894, 52.509143203], [13.423453494, 52.509151603], [13.423426894, 52.509160203]]]",0.13576260143065344,Köpenicker Straße
